gaksu,Heze,Spica
gaksu,66 Vir,l Vir
hangsu,Elgafar,Syrma
hangsu,Syrma,Kang
hangsu,Kang,Khambalia
jeosu,Zubeneschamali,Zubenelhakrabi
jeosu,Zubenelhakrabi,Iota Lib
jeosu,Iota Lib,Zubenelgenubi
simsu,Alniyat,Antares
simsu,Antares,Paikauhale
misu,Larawag,ZEta02 Scorpius
misu,ZEta02 Scorpius,Eta Scorpius
misu,Eta Scorpius,Sargas
misu,Sargas,Iota Scorpius A
misu,Iota Scorpius A,Kappa Scorpius
misu,Kappa Scorpius,Shaula
misu,Shaula,Lesath
gisu,Alnasl,Kaus Media
gisu,Kaus Media,Kaus Australis
gisu,Kaus Australis,Eta Sagittarius
wusu,Dabih Major,Alshat
wusu,Dabih Major,Algedi
wusu,Dabih Major,Rho Capricornus A
wusu,Dabih Major,Pi Capricornus
wusu,Omicron Capricornus A,Rho Capricornus A
wusu,Omicron Capricornus A,Pi Capricornus
yeosu,k Aquarius,5 Aquarius
yeosu,5 Aquarius,Mu Aquarius
yeosu,Mu Aquarius,Albali
heosu,Sadalsuud,Kitalpha
byeoksu,Algenib,HD     26
byeoksu,HD 224617,Iota Pisces
byeoksu,Iota Pisces,Theta Pisces
byeoksu,Theta Pisces,Gamma Pisces
byeoksu,Gamma Pisces,Fumalsamakah
byeoksu,19 Pisces,Lambda Pisces
byeoksu,Lambda Pisces,Kappa Pisces
byeoksu,Kappa Pisces,5 Pisces
gyusu,MIRACH,Mu Andromeda
gyusu,Mu Andromeda,Nu Andromeda
gyusu,Nu Andromeda,32 Andromeda
gyusu,32 Andromeda,64 Cetus
gyusu,64 Cetus,Pi Andromeda
gyusu,Pi Andromeda,Delta Andromeda
gyusu,Delta Andromeda,EPsilon Andromeda
gyusu,EPsilon Andromeda,ZEta Andromeda
gyusu,ZEta Andromeda,Eta Andromeda
gyusu,Eta Andromeda,Psi03 Pisces
gyusu,Psi03 Pisces,Phi Pisces
gyusu,Phi Pisces,UPsilon Pisces
gyusu,UPsilon Pisces,Tau Pisces
gyusu,Tau Pisces,g Pisces
gyusu,g Pisces,MIRACH
pilsu,Sigma02 Tau,Aldebaran
pilsu,Aldebaran,SAO  93975
pilsu,SAO  93975,71 Tau
pilsu,71 Tau,Prima Hyadum
pilsu,Prima Hyadum,Lambda Tau
pilsu,Prima Hyadum,Secunda Hyadum
pilsu,Secunda Hyadum,Delta03 Tau
pilsu,Delta03 Tau,Ain
jungsu,Mekbuda,Lambda Gemini
jungsu,Mekbuda,d Gemini
jungsu,Mekbuda,Alhena
jungsu,d Gemini,Mebsuta
jungsu,d Gemini,Nu Gemini
jungsu,Alhena,Alzirr
jungsu,Alhena,Nu Gemini
jungsu,Nu Gemini,Tejat
jungsu,Tejat,Propus
jangsu,Mu Hydra,Phi Hydra
jangsu,Mu Hydra,Lambda Hydra
jangsu,Mu Hydra,Felis
jangsu,Zhang,Lambda Hydra
jangsu,Zhang,Felis
jangsu,Zhang,Kappa Hydra
Aries,Bharani,Hamal
Aries,Hamal,Sheratan
Aries,Sheratan,Gamma02 Aries
Gemini,UPsilon Gemini,Pollux
Gemini,UPsilon Gemini,Kappa Gemini
Gemini,UPsilon Gemini,Iota Gemini
Gemini,UPsilon Gemini,Wasat
Gemini,Wasat,Lambda Gemini
Gemini,Wasat,Mekbuda
