* 1 Aqr,20 39 24.8927,+00 29 11.155,96.805,-10.14,5.153,12.3852,K,,1 Aquarius,HD 196758,SAO 126062,HIP 101936,HR  7897,Gaia DR2 4231171058672649856,Gaia DR3 4231171058672649856
NAME * f Pup AB,07 37 22.1064,-34 58 06.735,-19.8,12.5,4.83,--,,,f Pup AB,HD 61330AB,,,,,
* 17 Com,12 28 54.7022,+25 54 46.265,-23.071,-15.11,5.236,12.9991,B,STFA 21,17 Coma Berenices,HD 108662,SAO  82330,HIP 60904,HR  4752,Gaia DR2 3960724252307181056,Gaia DR3 3960724252307532672
NGC 104,00 24 05.359,-72 04 53.20,5.25,-2.53,4.09,0.232,,47 Tuc Cluster,Xi Tucana,HD   2051,,HIP 1902,HR    95,,
V* OV Cep,07 40 30.4903,+87 01 12.378,-37.838,-32.969,5.07,6.1518,M,51 H. Cep,,HD  51802,SAO   1168,HIP 37391,HR  2609,Gaia DR2 1152025922322662656,Gaia DR3 1152025922322662656
* alf Eri,01 37 42.8454,-57 14 12.310,87,-38.24,0.46,23.39,B,Achernar,Alpha Eridanus,HD  10144,SAO 232481,HIP 7588,HR   472,,
* eta Cas,00 49 06.2945,+57 48 54.638,1078.609,-551.133,3.44,168.8322,F,Achird,Eta Cassiopeia,HD   4614|HD   4614A,SAO  21732,HIP 3821,HR   219,Gaia DR2 425040000951479424,Gaia DR3 425040000962559616
* bet Sco,16 05 26.23,-19 48 19.4,--,--,2.5,--,B,Acrab,BEta Scorpius,,,,,,
* alf Cnc,08 58 29.2042,+11 51 27.649,42.181,-31.16,4.249,18.3304,K,Acubens,Alpha Cancer,HD  76756,SAO  98267,HIP 44066,HR  3572,Gaia DR2 604789257076233728,Gaia DR3 604789257076233728
* zet Leo,10 16 41.4151,+23 25 02.341,21.161,-8.263,3.41,14.0377,F,Adhafera,ZEta Leo,HD  89025,SAO  81265,HIP 50335,HR  4031,Gaia DR2 725422076533653504,Gaia DR3 725422076533653504
* eps CMa,06 58 37.5487,-28 58 19.510,3.24,1.33,1.5,8.05,B,Adhara,EPsilon Canis Major,HD  52089,SAO 172676,HIP 33579,HR  2618,,
* ksi And,01 22 20.4200,+45 31 43.596,31.681,9.024,4.868,14.6042,K,Adhil,Xi Andromeda,HD   8207,SAO  37155,HIP 6411,HR   390,Gaia DR2 398030875774246656,Gaia DR3 398030875774246656
* bet Cen,14 03 49.4053,-60 22 22.926,-33.27,-23.16,0.58,8.32,B,Hadar,BEta Centaurus,HD 122451,SAO 252582,HIP 68702,HR  5267,,
* pi. Pup,07 17 08.5567,-37 05 50.896,-10.05,6.47,2.7,4.04,K,Ahadi,Pi Puppis,HD  56855,SAO 197795,HIP 35264,HR  2773,Gaia DR2 5589311357724458368,
